P -1378.9844, 651.4464, -72.6004,  0, 0, 0,  1,  Decayed_Remains
P -1393.5929, 470.8860, -70.3298,  0, 0, 0,  1,  Decayed_Remains
P -1421.9319, 484.6130, -68.6661,  0, 0, 0,  1,  Decayed_Remains
P -1473.6405, 565.4869, -72.6004,  0, 0, 0,  1,  Decayed_Remains
P -1460.1884, 614.8853, -72.6004,  0, 0, 0,  1,  Decayed_Remains
P -1540.5873, 640.9136, -67.9107,  0, 0, 0,  1,  Decayed_Remains
P -1533.1615, 548.5102, -72.6003,  0, 0, 0,  1,  Decayed_Remains
P -1093.1805, -887.5736, 3.6484,  127, 64, 0,  3,  Sentry_Stone_of_Illdaera
P -879.9208, 22.1701, 3.7060,  127, 64, 0,  3,  Sentry_Stone_of_Sholoth
P -1323.6740, -462.2542, 4.3200,  127, 64, 0,  3,  Sentry_Stone_of_Oseka
P -2371.7239, -297.3836, -225.5999,  127, 64, 0,  3,  The_Relic_of_Oseka
P -644.5644, -1530.9702, 4.2099,  127, 64, 0,  3,  The_Relic_of_Ladrys
P -1970.6132, -841.4818, -1.6200,  0, 0, 0,  3,  The_Relic_of_Illdaera
P -1506.5035, 578.1245, -52.6054,  127, 64, 0,  3,  The_Relic_of_Sholoth
P -644.5000, -2045.0000, -91.0000,  0, 0, 240,  2,  Floor_B
P -644.5000, -2010.0000, -91.0000,  0, 0, 0,  2,  To_B
P -695.0000, -2045.0000, -91.0000,  0, 0, 0,  2,  To_A
P -595.0000, -2045.0000, -91.0000,  150, 0, 150,  2,  To_C
P -644.5000, -2080.0000, -91.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2045.0000, 0.0000,  0, 0, 240,  2,  Floor_A
P -644.5000, -2010.0000, 0.0000,  150, 0, 150,  2,  To_B
P -695.0000, -2045.0000, 0.0000,  0, 0, 0,  2,  To_A
P -595.0000, -2045.0000, 0.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2080.0000, 0.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2080.0000, -1277.0000,  0, 0, 0,  2,  To_H
P -595.0000, -2045.0000, -1277.0000,  150, 0, 150,  2,  To_P_(Top)
P -695.0000, -2045.0000, -1277.0000,  0, 0, 0,  2,  To_C
P -644.5000, -2010.0000, -1277.0000,  0, 0, 0,  2,  To_I
P -644.5000, -2045.0000, -1277.0000,  0, 0, 240,  2,  Floor_O
P -644.5000, -2080.0000, -1186.0000,  150, 0, 150,  2,  To_O
P -695.0000, -2045.0000, -1186.0000,  0, 0, 0,  2,  To_D
P -644.5000, -2010.0000, -1186.0000,  0, 0, 0,  2,  To_B
